term,query,LP0049,LP0092,LP0055
kuliah,0.25,0.009345794392523364,0.009615384615384616,0.010309278350515464
skripsi,0.25,0.009345794392523364,0.009615384615384616,0.010309278350515464
coding,0.25,0.009345794392523364,0.009615384615384616,0.010309278350515464
game_ringan,0.25,0.009345794392523364,0.009615384615384616,0.010309278350515464
