rank,id,brand,name,score,price
1,LP0049,ASUS,ASUS ZENBOOK 14 OLED,0.15404990894895665,17999000.0
2,LP0092,Lenovo,LENOVO THINKPAD E14 G7,0.15153270951660036,21999000.0
3,LP0055,Axioo,AXIOO HYPE 5 AMD,0.15079792895691146,9749000.0
4,LP0025,ASUS,ASUS EXPERTBOOK BG1409CVA I5,0.15057289613591984,14900000.0
5,LP0097,Lenovo,LENOVO YOGA 7 2IN1,0.14638001924297436,18999000.0
6,LP0073,Lenovo,LENOVO IDEAPAD 5 2IN1,0.14634205073267187,17699000.0
