k,avg_precision,avg_recall,avg_f1,avg_returned,fallback_count
6,0.8055555555555555,0.24799750164636467,0.3342444256623361,6.0,0
10,0.7833333333333333,0.3876650008432134,0.44761548243038085,9.666666666666666,0
12,0.7777777777777778,0.4361970234947496,0.48510842701030055,11.333333333333334,0
15,0.7777777777777778,0.5116832295150645,0.5413157166017578,13.833333333333334,0
18,0.7870370370370371,0.592545779621401,0.5993533440640132,16.333333333333332,0
